39.42,40.08,43.50,50.53,64.11,95.14,198.34,500.00,198.07,109.74,84.10,70.94,63.74,60.64,60.21,0.60,0.00
39.41,40.07,43.51,50.54,64.12,95.17,198.43,500.00,198.17,109.66,84.03,70.89,63.70,60.60,60.20,0.60,0.00
39.40,40.06,43.52,50.55,64.14,95.20,198.53,500.00,198.28,109.56,83.96,70.84,63.66,60.56,60.19,0.60,0.00
39.38,40.04,43.53,50.57,64.16,95.24,198.64,500.00,198.40,109.45,83.88,70.78,63.60,60.51,60.17,0.60,0.00
39.35,40.01,43.55,50.59,64.21,95.32,198.87,500.00,198.67,109.23,83.70,70.66,63.49,60.40,60.14,0.60,0.00
39.31,40.01,43.58,50.62,64.27,95.40,199.11,500.00,198.93,109.00,83.53,70.54,63.39,60.30,60.11,0.60,0.00
39.28,40.04,43.60,50.65,64.32,95.48,199.32,500.00,199.17,108.79,83.37,70.42,63.28,60.20,60.08,0.60,0.00
39.22,40.07,43.64,50.70,64.41,95.62,199.72,500.00,199.61,108.41,83.07,70.19,63.10,60.02,60.03,0.60,0.00
39.15,40.12,43.69,50.76,64.53,95.79,200.21,500.00,200.17,108.14,82.71,69.88,62.86,59.80,59.89,0.60,0.00
39.09,40.16,43.74,50.81,64.62,95.93,200.61,500.00,200.61,107.96,82.41,69.63,62.68,59.62,59.71,0.60,0.00
39.04,40.20,43.78,50.85,64.71,96.06,200.97,500.00,201.02,107.80,82.14,69.40,62.50,59.46,59.54,0.60,0.00
39.00,40.23,43.81,50.89,64.79,96.17,201.31,500.00,201.39,107.65,81.89,69.19,62.35,59.31,59.39,0.60,0.00
39.03,40.26,43.85,50.94,64.87,96.30,201.66,500.00,201.79,107.49,81.63,68.97,62.18,59.15,59.24,0.60,0.00
39.06,40.30,43.88,50.98,64.95,96.41,202.00,500.00,202.17,107.34,81.38,68.76,62.02,59.00,59.08,0.60,0.00
39.09,40.33,43.92,51.02,65.03,96.53,202.32,500.00,202.53,107.19,81.13,68.55,61.87,58.85,58.94,0.60,0.00
39.12,40.36,43.95,51.06,65.10,96.64,202.64,500.00,202.89,107.04,80.90,68.35,61.72,58.71,58.79,0.60,0.00
39.16,40.40,44.00,51.11,65.20,96.79,203.07,500.00,203.37,106.85,80.58,68.08,61.52,58.52,58.60,0.60,0.00
39.20,40.44,44.04,51.16,65.30,96.85,203.48,500.00,203.83,106.67,80.27,67.82,61.32,58.33,58.42,0.60,0.00
39.24,40.48,44.08,51.24,65.39,96.91,203.88,500.00,204.28,106.49,79.98,67.57,61.14,58.16,58.24,0.60,0.00
39.28,40.52,44.13,51.31,65.48,96.96,204.28,500.00,204.72,106.31,79.68,67.32,60.93,57.98,58.06,0.60,0.00
39.31,40.56,44.17,51.38,65.58,97.02,204.67,500.00,205.17,106.13,79.39,67.07,60.70,57.80,57.88,0.60,0.00
39.35,40.60,44.21,51.46,65.67,97.07,205.08,500.00,205.63,105.95,79.08,66.82,60.47,57.62,57.70,0.60,0.00
39.44,40.69,44.31,51.63,65.89,97.20,206.01,500.00,206.67,105.53,78.39,66.23,59.94,57.20,57.28,0.60,0.00
39.53,40.78,44.42,51.81,66.12,97.34,209.60,500.00,207.75,105.10,77.67,65.63,59.39,56.77,56.85,0.60,0.00
39.60,40.86,44.54,51.95,66.30,97.45,218.34,500.00,208.63,104.74,77.09,65.13,58.95,56.42,56.50,0.60,0.00
39.67,40.92,44.65,52.08,66.46,97.55,226.00,500.00,209.40,104.43,76.58,64.70,58.56,56.04,56.19,0.60,0.00
39.73,40.99,44.76,52.20,66.62,97.64,233.30,500.00,210.13,104.14,76.09,64.29,58.18,55.69,55.89,0.60,0.00
39.79,41.06,44.85,52.31,66.76,97.72,240.18,500.00,210.82,103.86,75.63,63.90,57.83,55.35,55.62,0.60,0.00
39.90,41.23,45.04,52.53,67.04,97.89,397.87,500.00,209.89,103.34,75.11,63.17,57.17,54.71,55.09,0.60,0.00
39.99,41.36,45.19,52.70,67.26,98.02,397.34,500.00,208.36,102.91,74.80,62.57,56.63,54.20,54.59,0.60,0.00
40.10,41.48,45.32,52.85,67.40,98.14,396.89,500.00,207.06,102.55,74.53,62.06,56.17,53.76,54.15,0.60,0.00
40.21,41.59,45.44,52.99,67.47,98.24,396.46,500.00,205.83,102.20,74.28,61.58,55.73,53.34,53.73,0.60,0.00
40.40,41.79,45.65,53.24,67.60,98.43,395.71,500.00,203.66,101.59,73.84,60.73,54.96,52.60,52.99,0.60,0.00
40.54,41.94,45.82,53.43,67.70,98.58,395.10,500.00,201.97,101.12,73.50,60.09,54.36,52.03,52.41,0.60,0.00
40.67,42.07,45.96,53.60,67.79,98.71,394.57,500.00,200.54,100.72,73.21,59.86,53.86,51.55,51.92,0.60,0.00
40.84,42.25,46.15,53.76,67.91,98.88,393.82,500.00,198.53,100.16,72.80,59.52,53.15,50.87,51.24,0.60,0.00
40.98,42.39,46.31,53.84,68.00,99.02,393.24,500.00,196.99,99.72,72.48,59.26,52.60,50.34,50.71,0.60,0.00
41.17,42.59,46.52,53.94,68.13,99.45,392.42,500.00,194.78,99.11,72.03,58.90,52.02,49.60,49.96,0.60,0.00
41.33,42.75,46.65,54.03,68.24,99.97,391.74,500.00,192.94,99.66,71.66,58.59,51.75,48.97,49.33,0.60,0.00
41.46,42.89,46.71,54.10,68.34,100.41,391.15,500.00,191.36,100.15,71.34,58.33,51.52,48.44,48.79,0.60,0.00
41.59,43.03,46.78,54.17,68.43,100.83,390.60,500.00,189.88,100.61,71.04,58.08,51.30,48.09,48.28,0.60,0.00
41.72,43.11,46.84,54.24,68.51,101.24,390.06,500.00,188.42,101.07,70.74,57.84,51.08,47.89,47.78,0.60,0.00
